#Ignore	\o042						
#Exchange	#	\x20					
							



#Table	Tab00						
#ColumnType	BYTE	String[33]	String[33]	String[33]	String[33]	String[33]	String[33]
#Record	19	Card_Hat_LuckyClover01	Card_Hat_Mightywing01_6	Card_Hat_Orangutan00_1	Card_Hat_Pirate01_1	Card_Hat_Rabbitear05_1	Card_Hat_Robin01_1
#Record	20	Card_Hat_Roumenus01_1	Card_Hat_Mistletoe01_1	Card_Hat_Pancake01	Card_Hat_Pirate01_4	Card_Hat_Raemi01_1	Card_Hat_Ronin_7
#Record	21	Card_Hat_RoundHat02	Card_Hat_Shamrock_7	Card_Hat_Sorcerer00_1	Card_Hat_Tidal01	Card_Hat_Turban_1	Card_Hat_Viking01_1
#Record	22	Card_Hat_RRoundHat02	Card_Hat_Shamrock01	Card_Hat_SRegent05_1	Card_Hat_Tiger02	Card_Hat_TwinsAngel05_1	Card_Hat_WesternPink01_1
#Record	23	Card_Hat_Santa_2010_01	Card_Hat_Shark01_1	Card_Hat_Steampunk01	Card_Hat_Tkorea01	Card_Hat_Uniform01	Card_Hat_WesternSky01_1
#Record	24	Card_Hat_Scarecrow01_1	Card_Hat_Shutian01_1	Card_Hat_Summer_2010_00_1	Card_Hat_Toadstool01	Card_Hat_Uniform02	Card_Hat_WolfEar01
#Record	25	Card_Hat_Seal01_1	Card_Hat_Skull02_2	Card_Hat_Summer_2010_01_1	Card_Hat_TombRaider01	Card_Hat_Uniform03	Card_Hat_WPhoenix04
#Record	26	Card_Hat_ShadowFox01_1	Card_Hat_Snowman01_1	Card_Hat_Sunflower00	Card_Hat_Torrent01	Card_Hat_Victorian_1	Card_Hat_WRoundHat02
#Record	27	Card_Hat_Xmas_14_Santa_7	Card_Hat_Snowman02	Card_Hat_Tennis01_1	Card_Hat_TPainCircus00	Card_Hat_Vietree01_1	Card_Hat_Xmas_14_Penguin_7
#Record	28	Card_Hat_Xmas02_1	Card_Hat_YRoundHat03	Card_Hat_Xmas00_1	Card_Hat_Zach01_1	Card_Hat_Xmas01_2	Card_MiraclesHeadphones01
#Record	29	Card_UnicornCornu01	Card_Hat_Xmas03_1	Card_Hat_Xmas04_1	Card_Hat_Xmas05_1	Transparent_HatCard	Hat_Collect01
#Record	30	-	-	-	-	-	-
#Record	31	Card_Glas_Hipster01_1	Card_CircleBGlas01_4	Card_Glas_Lovely00_1	Card_Glas_ZHunter01_1	Card_Glas_TPainsun00	Card_DizzyGlas01_4
#Record	32	Card_Glas_Bframe03_1	Card_Glas_Cyber_7	Card_Glas_Neo01_1	Card_Glas_Neo02_1	Card_Glas_SunMatrix00_6	Card_Glas_Dandy01_4
#Record	33	Card_Cuglasses05_2	Card_Glas_Evergreen01_1	Card_Glas_Shamrock_7	Card_OneEyed00_5	Card_Glas_Buggy01_1	Card_Glas_TombRaider01
#Record	34	Card_Glas_Cone01	Card_Glas_Gauze01_1	Card_Glas_Kei01_1	Card_Glas_Boader01_1	Transparent_GlassesCard	-
#Record	35	Card_BugbearMask03	Card_Mask_RedNose01_1	Card_HyunmooMask00_5	Card_HolyLightMask00	Card_Mask_ShadowFox01_1	Card_Mask_Moustache01_1
#Record	36	Card_Mask_Dance01_1	Card_Mask_Beard01_1	Card_Mask_Snorkel01_1	Card_Mask_Stoic00	Transparent_MaskCard	-
#end
